Date,Bench Press,Incline Bench,Machine Flies,Decline Cable Flies
2/10/2020,40.40.45.45.50,20.30.30.40.40,55.55.70.70.85,0
8/10/2020,40.40.50.50.60,20.30.30.40.40,55.70.70.85.85,0
10/10/2020,40.50.50.60.60,,55.70.70.85.85,0
16/10/2020,40.50.50.60.60,20.30.40.40.50,55.70.70.85.85,0
22/10/2020,50.50.60.60.60,0.0.0,70.70.85.85.100,0
29/10/2020,50.50.60.60.70,30.40.40.50.50,70.70.85.85.100,0
5/11/2020,50.50.60.60.70,30.40.40.50.50,70.85.85.100.100,0
12/11/2020,50.50.60.60.60,0,70.85.85.100.100,0
19/11/2020,50.50.60.60.70,30.40.40.50.50,70.85.85.100.100,0
27/11/2020,50.60.60.60.70,30.40.40.50.50,70.85.85.100.100,0
4/12/2020,60.60.60.70.70,40.40.50.50.60,0,40.30.30.30.40
12/12/2020,60.60.60.70.70,40.50.50.60.60,0,17.17.22.22.27